year,sex,age,citizenship,count
2022,m,23,RUS,444
2022,m,28,GEO,1710
2022,m,40,NZL,8
2022,m,8,SWE,5
2022,m,41,ROU,323
2022,m,43,IRQ,34
2022,m,21,RUS,366
2022,m,54,MDA,430
2022,m,50,CHN,249
2022,m,6,NPL,4
2022,m,36,CZE,108
2022,m,12,BLR,535
2022,m,52,KOR,195
2022,m,26,ROU,172
2022,m,51,ARM,97
2022,m,57,DNK,80
2022,m,23,VNM,182
2022,m,34,ROU,402
2022,m,17,RUS,249
2022,f,22,BLR,2525
2022,f,50,GEO,287
2022,m,9,ROU,71
2022,f,23,TUR,611
2022,f,26,COG,11
2022,f,49,BGR,82
2022,f,49,BLR,951
2022,f,40,AUT,45
2022,f,54,CHN,100
2022,m,34,RUS,821
2022,f,70,AUT,56
2022,m,42,MDA,803
2022,f,82,UKR,798
2022,m,27,CHN,225
2022,f,91,UKR,85
2022,f,24,BLR,2654
2022,f,84,UKR,684
2022,m,39,GEO,1546
2022,m,42,CHN,337
2022,m,15,KOR,56
2022,m,32,ITA,324
2022,f,20,MAR,14
2022,f,5,ROU,72
2022,f,18,PHL,2
2022,m,35,NPL,243
2022,m,25,AGO,19
2022,m,44,KOR,183
2022,f,74,UKR,2379
2022,m,40,BGR,180
2022,m,55,DEU,773
2022,m,2,GEO,71
2022,f,52,CHN,115
2022,m,33,IND,1300
2022,m,33,VNM,367
2022,f,32,GEO,325
2022,f,11,ROU,62
2022,m,69,SWE,90
2022,f,11,RUS,177
2022,f,28,UZB,33
2022,m,43,MDA,807
2022,f,11,GEO,46
2022,m,45,RUS,522
2022,m,66,VNM,57
2022,m,41,MDA,850
2022,f,62,JPN,15
2022,m,31,PRT,115
2022,f,30,CHN,268
2022,m,25,TUR,1174
2022,f,21,FRA,116
2022,m,42,ESP,174
2022,m,33,MAR,59
2022,f,26,ESP,156
2022,m,34,PAK,140
2022,f,69,VNM,42
2022,m,46,GEO,1322
2022,m,51,CHN,229
2022,m,35,KOR,116
2022,m,58,AUT,64
2022,m,28,MDA,1141
2022,m,30,GRC,59
2022,m,53,LBN,11
2022,m,45,FRA,184
2022,m,31,IRQ,36
2022,m,33,GEO,1792
2022,f,42,EST,11
2022,m,37,VNM,444
2022,m,40,KAZ,111
2022,f,32,RUS,636
2022,m,43,ESP,182
2022,m,40,BLR,4095
2022,m,54,GEO,706
2022,m,47,MDA,708
2022,m,22,JOR,16
2022,f,26,AZE,83
2022,m,19,JPN,18
2022,f,33,FRA,73
2022,m,27,MLI,6
2022,f,32,SRB,24
2022,m,41,PER,12
2022,f,39,IND,222
2022,f,48,BLR,992
2022,m,54,DEU,750
2022,m,24,TUN,28
2022,m,38,TJK,68
2022,f,14,KOR,62
2022,f,28,DEU,132
2022,m,49,TUR,237
2022,f,28,IND,382
2022,f,49,UNKNOWN,291
2022,m,60,GRC,42
2022,f,30,GBR,45
2022,m,8,IND,110
2022,m,25,ESP,262
2022,m,39,CHN,406
2022,m,43,UZB,312
2022,m,37,BRA,87
2022,m,59,GEO,386
2022,m,25,PAK,74
2022,m,22,COL,50
2022,m,20,IND,142
2022,f,43,IND,110
2022,m,84,UKR,188
2022,m,44,BRA,41
2022,m,54,BGR,140
2022,m,22,DEU,125
2022,m,46,CHN,242
2022,f,25,NPL,57
2022,m,29,TUR,1042
2022,f,37,HUN,55
2022,m,64,DEU,707
2022,m,61,CZE,48
2022,m,5,VNM,91
2022,m,42,GRC,50
2022,m,53,DEU,753
2022,m,37,TKM,82
2022,m,52,BLR,1622
2022,m,39,ROU,318
2022,m,52,PHL,78
2022,f,55,MDA,181
2022,f,76,UKR,1710
2022,m,43,ARM,151
2022,m,27,NPL,306
2022,m,38,LVA,98
2022,f,49,DEU,204
