year,type,group,sex,age,citizenship,count
2023,disability.pension,employees,m,33,GEO,699
2023,disability.pension,employees,f,32,GEO,140
2023,disability.pension,employees,f,47,BLR,512
2023,disability.pension,employees,f,37,BLR,940
2023,disability.pension,employees,f,24,BLR,1292
2023,disability.pension,employees,m,37,DZA,36
2023,disability.pension,employees,m,39,BLR,48
2023,disability.pension,employees,m,44,UKR,8926
2023,disability.pension,employees,m,66,RUS,13
2023,disability.pension,employees,m,53,LTU,2
2023,disability.pension,employees,f,27,LTU,22
2023,disability.pension,employees,f,18,COG,1
2023,disability.pension,employees,m,65,BLR,65
2023,disability.pension,employees,f,50,ROU,21
2023,disability.pension,employees,m,41,UKR,1428
2023,disability.pension,employees,m,37,UKR,1792
2023,disability.pension,employees,m,29,UKR,2038
2023,disability.pension,employees,m,44,UZB,194
2023,disability.pension,employees,m,22,BLR,1493
2023,disability.pension,employees,m,37,BLR,362
2023,disability.pension,employees,f,47,BLR,94
2023,disability.pension,employees,m,25,BLR,254
2023,disability.pension,employees,m,15,UKR,750
2023,disability.pension,employees,m,14,UKR,144
2023,disability.pension,employees,m,56,UKR,3425
2023,disability.pension,employees,f,17,TJK,1
2023,disability.pension,employees,m,17,RUS,5
2023,disability.pension,employees,f,61,LTU,5
2023,disability.pension,employees,f,39,UKR,2140
2023,disability.pension,employees,m,37,GEO,638
2023,disability.pension,employees,m,53,BLR,12
2023,disability.pension,employees,f,38,RUS,126
2023,disability.pension,employees,f,39,BLR,821
2023,disability.pension,employees,f,63,BLR,58
2023,disability.pension,employees,f,18,UKR,2807
2023,disability.pension,employees,f,20,BLR,653
2023,disability.pension,employees,f,16,UKR,761
2023,disability.pension,employees,m,36,GEO,636
2023,disability.pension,employees,f,51,BLR,396
2023,disability.pension,employees,m,60,BLR,322
2023,disability.pension,employees,m,57,SYR,4
2023,disability.pension,employees,m,69,BLR,16
2023,disability.pension,employees,m,50,BLR,158
2023,disability.pension,employees,f,32,BLR,1102
2023,disability.pension,employees,m,36,BLR,380
2023,disability.pension,employees,f,17,BLR,223
2023,disability.pension,employees,f,17,RUS,5
2023,disability.pension,employees,f,18,RUS,14
2023,disability.pension,employees,f,15,BLR,62
2023,disability.pension,employees,m,47,UKR,1078
2023,disability.pension,employees,m,39,UKR,1524
2023,disability.pension,employees,f,56,UKR,1014
2023,disability.pension,employees,m,44,UKR,1298
2023,disability.pension,employees,f,38,GEO,161
2023,disability.pension,employees,m,38,BLR,362
2023,disability.pension,employees,m,62,LTU,8
2023,disability.pension,employees,f,37,UKR,2270
2023,disability.pension,employees,f,69,UKR,30
2023,disability.pension,employees,m,57,UKR,3034
2023,disability.pension,employees,m,50,UKR,928
2023,disability.pension,employees,m,57,BLR,70
2023,disability.pension,employees,f,50,BLR,442
2023,disability.pension,employees,f,66,UKR,557
2023,disability.pension,employees,m,22,UKR,4677
2023,disability.pension,employees,m,44,ITA,116
2023,disability.pension,employees,m,32,BLR,374
2023,disability.pension,employees,m,43,UZB,217
2023,disability.pension,employees,m,31,LTU,33
2023,disability.pension,employees,m,55,GEO,311
2023,disability.pension,employees,f,58,RUS,10
2023,disability.pension,employees,m,46,BLR,200
2023,disability.pension,employees,m,65,UKR,735
2023,disability.pension,employees,f,15,RUS,6
2023,disability.pension,employees,f,30,BLR,15
2023,disability.pension,employees,f,38,BLR,118
2023,disability.pension,employees,m,45,IND,246
2023,disability.pension,employees,m,31,CUB,18
2023,disability.pension,employees,m,35,BGD,212
2023,disability.pension,employees,m,30,IND,894
2023,disability.pension,employees,m,25,ZWE,51
