country,sex,pesel
NIKARAGUAŃSKIE,f,20
NORWESKIE,f,1100
NORWESKIE,m,1686
NOWOZELANDZKIE,m,209
NOWOZELANDZKIE,f,92
OMAŃSKIE,m,37
OMAŃSKIE,f,5
PAKISTAŃSKIE,m,4500
PAKISTAŃSKIE,f,791
PALAUSKIE,f,1
PALESTYŃSKIE,m,179
PALESTYŃSKIE,f,32
PANAMSKIE,f,30
PANAMSKIE,m,57
PAPUAŃSKIE,f,12
PAPUAŃSKIE,m,11
PARAGWAJSKIE,m,133
PARAGWAJSKIE,f,109
PERUWIAŃSKIE,m,1045
PERUWIAŃSKIE,f,514
PORTUGALSKIE,f,1224
PORTUGALSKIE,m,3799
POŁUDNIOWOAFRYKAŃSKIE,m,772
POŁUDNIOWOAFRYKAŃSKIE,f,627
POŁUDNIOWOKOREAŃSKIE,m,7261
POŁUDNIOWOKOREAŃSKIE,f,3873
PÓŁNOCNOKOREAŃSKIE,f,358
PÓŁNOCNOKOREAŃSKIE,m,725
RADZIECKIE/ZSRR,f,440
RADZIECKIE/ZSRR,m,262
REPUBLIKA ZIELONEGO PRZYLĄDKA,m,11
REPUBLIKA ZIELONEGO PRZYLĄDKA,f,8
ROSYJSKIE,m,25334
ROSYJSKIE,f,22066
RUMUŃSKIE,m,15866
RUMUŃSKIE,f,5457
RWANDYJSKIE,m,1453
RWANDYJSKIE,f,902
SAINT KITTS I NEVIS,m,36
SAINT KITTS I NEVIS,f,12
SAINT LUCIA,f,3
SAINT LUCIA,m,5
SAINT VINCENT I GRENADYNY,m,5
SAINT VINCENT I GRENADYNY,f,1
SALOMOŃSKIE,f,1
SALWADORSKIE,f,51
SALWADORSKIE,m,97
SANMARYŃSKIE,m,2
SAUDYJSKIE,f,366
SAUDYJSKIE,m,892
SENEGALSKIE,m,178
SENEGALSKIE,f,52
SERBIA I CZARNOGÓRA,m,111
SERBIA I CZARNOGÓRA,f,50
SERBSKIE,f,578
SERBSKIE,m,3446
SESZELSKIE,m,10
SESZELSKIE,f,10
SIERRALEOŃSKIE,m,48
SIERRALEOŃSKIE,f,23
SINGAPURSKIE,m,153
SINGAPURSKIE,f,123
SOMALIJSKIE,f,52
SOMALIJSKIE,m,140
