year,sex,country_code,prison,country,continent,wbd_region7,schengen
2017,m,TWN,1,Taiwan,Asia,East Asia & Pacific,non-Schengen
2017,m,TUN,3,Tunisia,Africa,Middle East & North Africa,non-Schengen
2017,m,TUR,9,Turkey,Asia,Europe & Central Asia,non-Schengen
2017,m,UKR,260,Ukraine,Europe,Europe & Central Asia,non-Schengen
2017,m,VEN,1,Venezuela,Americas,Latin America & Caribbean,non-Schengen
2017,m,HUN,4,Hungary,Europe,Europe & Central Asia,Schengen
2017,m,GBR,4,United Kingdom,Europe,Europe & Central Asia,non-Schengen
2017,m,VNM,43,Vietnam,Asia,East Asia & Pacific,non-Schengen
2017,m,XXX,11,Stateless,other/unknown,other/unknown,non-Schengen
2017,m,ALB,2,Albania,Europe,Europe & Central Asia,non-Schengen
2017,m,AUT,1,Austria,Europe,Europe & Central Asia,Schengen
2017,m,HRV,2,Croatia,Europe,Europe & Central Asia,non-Schengen
2017,m,GIN,1,Guinea,Africa,Sub-Saharan Africa,non-Schengen
2017,m,JOR,1,Jordan,Asia,Middle East & North Africa,non-Schengen
2017,m,CAN,1,Canada,Americas,North America,non-Schengen
2017,m,KAZ,1,Kazakhstan,Asia,Europe & Central Asia,non-Schengen
2017,m,KOR,1,South Korea,Asia,East Asia & Pacific,non-Schengen
2017,m,LBY,2,Libya,Africa,Middle East & North Africa,non-Schengen
2017,m,PAK,2,Pakistan,Asia,South Asia,non-Schengen
2017,m,ZAF,2,South Africa,Africa,Sub-Saharan Africa,non-Schengen
2017,m,SEN,1,Senegal,Africa,Sub-Saharan Africa,non-Schengen
2017,m,USA,1,United States,Americas,North America,non-Schengen
2017,m,TKM,1,Turkmenistan,Asia,Europe & Central Asia,non-Schengen
2017,m,ITA,3,Italy,Europe,Europe & Central Asia,Schengen
2017,f,BLR,1,Belarus,Europe,Europe & Central Asia,non-Schengen
2017,f,BGR,6,Bulgaria,Europe,Europe & Central Asia,non-Schengen
2017,f,CZE,2,Czechia,Europe,Europe & Central Asia,Schengen
2017,f,LTU,1,Lithuania,Europe,Europe & Central Asia,Schengen
2017,f,DEU,1,Germany,Europe,Europe & Central Asia,Schengen
2017,f,ROU,5,Romania,Europe,Europe & Central Asia,non-Schengen
2017,f,UKR,18,Ukraine,Europe,Europe & Central Asia,non-Schengen
2017,f,VNM,2,Vietnam,Asia,East Asia & Pacific,non-Schengen
2017,f,VEN,2,Venezuela,Americas,Latin America & Caribbean,non-Schengen
2017,f,XXX,3,Stateless,other/unknown,other/unknown,non-Schengen
2018,m,ALB,4,Albania,Europe,Europe & Central Asia,non-Schengen
2018,m,DZA,6,Algeria,Africa,Middle East & North Africa,non-Schengen
2018,m,ARM,26,Armenia,Asia,Europe & Central Asia,non-Schengen
2018,m,BEL,2,Belgium,Europe,Europe & Central Asia,Schengen
2018,m,BEN,1,Benin,Africa,Sub-Saharan Africa,non-Schengen
2018,m,BLR,35,Belarus,Europe,Europe & Central Asia,non-Schengen
2018,m,BGR,38,Bulgaria,Europe,Europe & Central Asia,non-Schengen
2018,m,HRV,1,Croatia,Europe,Europe & Central Asia,non-Schengen
2018,m,MNE,1,Montenegro,Europe,Europe & Central Asia,non-Schengen
2018,m,CZE,9,Czechia,Europe,Europe & Central Asia,Schengen
2018,m,DNK,2,Denmark,Europe,Europe & Central Asia,Schengen
2018,m,EGY,4,Egypt,Africa,Middle East & North Africa,non-Schengen
2018,m,EST,3,Estonia,Europe,Europe & Central Asia,Schengen
2018,m,ETH,1,Ethiopia,Africa,Sub-Saharan Africa,non-Schengen
2018,m,FRA,3,France,Europe,Europe & Central Asia,Schengen
2018,m,GRC,2,Greece,Europe,Europe & Central Asia,Schengen
2018,m,GEO,60,Georgia,Asia,Europe & Central Asia,non-Schengen
2018,m,ESP,3,Spain,Europe,Europe & Central Asia,Schengen
2018,m,NLD,5,Netherlands,Europe,Europe & Central Asia,Schengen
2018,m,IND,5,India,Asia,South Asia,non-Schengen
2018,m,ISR,5,Israel,Asia,Middle East & North Africa,non-Schengen
2018,m,CMR,1,Cameroon,Africa,Sub-Saharan Africa,non-Schengen
2018,m,KAZ,1,Kazakhstan,Asia,Europe & Central Asia,non-Schengen
2018,m,KGZ,1,Kyrgyzstan,Asia,Europe & Central Asia,non-Schengen
2018,m,KOR,2,South Korea,Asia,East Asia & Pacific,non-Schengen
2018,m,LTU,31,Lithuania,Europe,Europe & Central Asia,Schengen
2018,m,LVA,11,Latvia,Europe,Europe & Central Asia,Schengen
2018,m,MKD,2,North Macedonia,Europe,Europe & Central Asia,non-Schengen
2018,m,MLT,1,Malta,Europe,Middle East & North Africa,Schengen
2018,m,MAR,6,Morocco,Africa,Middle East & North Africa,non-Schengen
2018,m,MDA,28,Moldova,Europe,Europe & Central Asia,non-Schengen
2018,m,MNG,3,Mongolia,Asia,East Asia & Pacific,non-Schengen
2018,m,NPL,1,Nepal,Asia,South Asia,non-Schengen
2018,m,DEU,37,Germany,Europe,Europe & Central Asia,Schengen
2018,m,NGA,7,Nigeria,Africa,Sub-Saharan Africa,non-Schengen
2018,m,PAK,3,Pakistan,Asia,South Asia,non-Schengen
2018,m,PRY,2,Paraguay,Americas,Latin America & Caribbean,non-Schengen
2018,m,PRT,2,Portugal,Europe,Europe & Central Asia,Schengen
2018,m,RUS,68,Russia,Europe,Europe & Central Asia,non-Schengen
2018,m,ROU,44,Romania,Europe,Europe & Central Asia,non-Schengen
2018,m,SRB,12,Serbia,Europe,Europe & Central Asia,non-Schengen
2018,m,SVK,12,Slovakia,Europe,Europe & Central Asia,Schengen
2018,m,USA,1,United States,Americas,North America,non-Schengen
2018,m,TJK,1,Tajikistan,Asia,Europe & Central Asia,non-Schengen
2018,m,TWN,1,Taiwan,Asia,East Asia & Pacific,non-Schengen
2018,m,TZA,2,Tanzania,Africa,Sub-Saharan Africa,non-Schengen
2018,m,TUN,4,Tunisia,Africa,Middle East & North Africa,non-Schengen
2018,m,TUR,10,Turkey,Asia,Europe & Central Asia,non-Schengen
2018,m,UKR,359,Ukraine,Europe,Europe & Central Asia,non-Schengen
2018,m,VEN,1,Venezuela,Americas,Latin America & Caribbean,non-Schengen
2018,m,HUN,3,Hungary,Europe,Europe & Central Asia,Schengen
2018,m,VNM,64,Vietnam,Asia,East Asia & Pacific,non-Schengen
2018,m,ITA,9,Italy,Europe,Europe & Central Asia,Schengen
2018,m,XXX,7,Stateless,other/unknown,other/unknown,non-Schengen
2018,m,AUT,1,Austria,Europe,Europe & Central Asia,Schengen
2018,m,AZE,2,Azerbaijan,Asia,Europe & Central Asia,non-Schengen
2018,m,CHN,4,China,Asia,East Asia & Pacific,non-Schengen
2018,m,KEN,1,Kenya,Africa,Sub-Saharan Africa,non-Schengen
2018,m,COL,1,Colombia,Americas,Latin America & Caribbean,non-Schengen
2018,m,LBN,1,Lebanon,Asia,Middle East & North Africa,non-Schengen
2018,m,LBY,2,Libya,Africa,Middle East & North Africa,non-Schengen
2018,m,PSE,2,Palestinian Territories,Asia,Middle East & North Africa,non-Schengen
2018,m,PER,1,Peru,Americas,Latin America & Caribbean,non-Schengen
2018,m,ZAF,1,South Africa,Africa,Sub-Saharan Africa,non-Schengen
2018,m,SYR,2,Syria,Asia,Middle East & North Africa,non-Schengen
2018,m,SWE,1,Sweden,Europe,Europe & Central Asia,Schengen
2018,m,GBR,1,United Kingdom,Europe,Europe & Central Asia,non-Schengen
2018,m,TKM,1,Turkmenistan,Asia,Europe & Central Asia,non-Schengen
2018,f,BLR,6,Belarus,Europe,Europe & Central Asia,non-Schengen
2018,f,BRA,1,Brazil,Americas,Latin America & Caribbean,non-Schengen
2018,f,BGR,4,Bulgaria,Europe,Europe & Central Asia,non-Schengen
2018,f,CZE,2,Czechia,Europe,Europe & Central Asia,Schengen
2018,f,COG,1,Congo - Brazzaville,Africa,Sub-Saharan Africa,non-Schengen
2018,f,LTU,2,Lithuania,Europe,Europe & Central Asia,Schengen
2018,f,MDA,2,Moldova,Europe,Europe & Central Asia,non-Schengen
2018,f,RUS,1,Russia,Europe,Europe & Central Asia,non-Schengen
2018,f,ROU,9,Romania,Europe,Europe & Central Asia,non-Schengen
2018,f,UKR,16,Ukraine,Europe,Europe & Central Asia,non-Schengen
2018,f,VNM,5,Vietnam,Asia,East Asia & Pacific,non-Schengen
2018,f,ITA,2,Italy,Europe,Europe & Central Asia,Schengen
2018,f,DEU,1,Germany,Europe,Europe & Central Asia,Schengen
2018,f,VEN,2,Venezuela,Americas,Latin America & Caribbean,non-Schengen
2019,m,SAU,1,Saudi Arabia,Asia,Middle East & North Africa,non-Schengen
2019,m,ARM,40,Armenia,Asia,Europe & Central Asia,non-Schengen
2019,m,AUS,1,Australia,Oceania,East Asia & Pacific,non-Schengen
2019,m,AUT,1,Austria,Europe,Europe & Central Asia,Schengen
2019,m,AZE,3,Azerbaijan,Asia,Europe & Central Asia,non-Schengen
2019,m,BGD,1,Bangladesh,Asia,South Asia,non-Schengen
2019,m,BEL,3,Belgium,Europe,Europe & Central Asia,Schengen
2019,m,BLR,69,Belarus,Europe,Europe & Central Asia,non-Schengen
2019,m,BRA,1,Brazil,Americas,Latin America & Caribbean,non-Schengen
2019,m,BGR,44,Bulgaria,Europe,Europe & Central Asia,non-Schengen
2019,m,CHN,10,China,Asia,East Asia & Pacific,non-Schengen
2019,m,CZE,12,Czechia,Europe,Europe & Central Asia,Schengen
2019,m,DNK,1,Denmark,Europe,Europe & Central Asia,Schengen
2019,m,EGY,2,Egypt,Africa,Middle East & North Africa,non-Schengen
2019,m,EST,4,Estonia,Europe,Europe & Central Asia,Schengen
2019,m,FRA,2,France,Europe,Europe & Central Asia,Schengen
2019,m,GRC,3,Greece,Europe,Europe & Central Asia,Schengen
2019,m,GEO,113,Georgia,Asia,Europe & Central Asia,non-Schengen
2019,m,ESP,4,Spain,Europe,Europe & Central Asia,Schengen
2019,m,NLD,6,Netherlands,Europe,Europe & Central Asia,Schengen
2019,m,IND,7,India,Asia,South Asia,non-Schengen
2019,m,IRN,3,Iran,Asia,Middle East & North Africa,non-Schengen
2019,m,ISR,4,Israel,Asia,Middle East & North Africa,non-Schengen
2019,m,CAN,2,Canada,Americas,North America,non-Schengen
2019,m,KAZ,3,Kazakhstan,Asia,Europe & Central Asia,non-Schengen
2019,m,COL,4,Colombia,Americas,Latin America & Caribbean,non-Schengen
2019,m,KOR,2,South Korea,Asia,East Asia & Pacific,non-Schengen
2019,m,CRI,1,Costa Rica,Americas,Latin America & Caribbean,non-Schengen
2019,m,LTU,33,Lithuania,Europe,Europe & Central Asia,Schengen
2019,m,LVA,14,Latvia,Europe,Europe & Central Asia,Schengen
2019,m,MKD,3,North Macedonia,Europe,Europe & Central Asia,non-Schengen
2019,m,MDA,29,Moldova,Europe,Europe & Central Asia,non-Schengen
2019,m,DEU,38,Germany,Europe,Europe & Central Asia,Schengen
2019,m,NGA,11,Nigeria,Africa,Sub-Saharan Africa,non-Schengen
2019,m,NOR,1,Norway,Europe,Europe & Central Asia,Schengen
2019,m,PAK,3,Pakistan,Asia,South Asia,non-Schengen
2019,m,PAN,1,Panama,Americas,Latin America & Caribbean,non-Schengen
2019,m,PRY,5,Paraguay,Americas,Latin America & Caribbean,non-Schengen
2019,m,PRT,1,Portugal,Europe,Europe & Central Asia,Schengen
2019,m,RUS,81,Russia,Europe,Europe & Central Asia,non-Schengen
2019,m,ROU,54,Romania,Europe,Europe & Central Asia,non-Schengen
2019,m,SRB,9,Serbia,Europe,Europe & Central Asia,non-Schengen
2019,m,SVK,8,Slovakia,Europe,Europe & Central Asia,Schengen
2019,m,USA,3,United States,Americas,North America,non-Schengen
2019,m,SYR,2,Syria,Asia,Middle East & North Africa,non-Schengen
2019,m,SWE,3,Sweden,Europe,Europe & Central Asia,Schengen
2019,m,TWN,1,Taiwan,Asia,East Asia & Pacific,non-Schengen
2019,m,TUN,2,Tunisia,Africa,Middle East & North Africa,non-Schengen
2019,m,TUR,12,Turkey,Asia,Europe & Central Asia,non-Schengen
2019,m,UGA,1,Uganda,Africa,Sub-Saharan Africa,non-Schengen
2019,m,UKR,468,Ukraine,Europe,Europe & Central Asia,non-Schengen
2019,m,UZB,2,Uzbekistan,Asia,Europe & Central Asia,non-Schengen
2019,m,HUN,3,Hungary,Europe,Europe & Central Asia,Schengen
2019,m,GBR,4,United Kingdom,Europe,Europe & Central Asia,non-Schengen
2019,m,VNM,56,Vietnam,Asia,East Asia & Pacific,non-Schengen
2019,m,XXX,18,Stateless,other/unknown,other/unknown,non-Schengen
2019,m,ALB,2,Albania,Europe,Europe & Central Asia,non-Schengen
2019,m,DZA,6,Algeria,Africa,Middle East & North Africa,non-Schengen
2019,m,HRV,1,Croatia,Europe,Europe & Central Asia,non-Schengen
2019,m,KEN,1,Kenya,Africa,Sub-Saharan Africa,non-Schengen
2019,m,KGZ,1,Kyrgyzstan,Asia,Europe & Central Asia,non-Schengen
2019,m,LBY,2,Libya,Africa,Middle East & North Africa,non-Schengen
2019,m,MAR,3,Morocco,Africa,Middle East & North Africa,non-Schengen
2019,m,MNG,1,Mongolia,Asia,East Asia & Pacific,non-Schengen
2019,m,NPL,1,Nepal,Asia,South Asia,non-Schengen
2019,m,NZL,1,New Zealand,Oceania,East Asia & Pacific,non-Schengen
2019,m,PSE,2,Palestinian Territories,Asia,Middle East & North Africa,non-Schengen
2019,m,BIH,1,Bosnia & Herzegovina,Europe,Europe & Central Asia,non-Schengen
2019,m,SVN,1,Slovenia,Europe,Europe & Central Asia,Schengen
2019,m,TZA,1,Tanzania,Africa,Sub-Saharan Africa,non-Schengen
2019,m,ITA,3,Italy,Europe,Europe & Central Asia,Schengen
2019,f,ARM,1,Armenia,Asia,Europe & Central Asia,non-Schengen
2019,f,BEL,1,Belgium,Europe,Europe & Central Asia,Schengen
2019,f,BLR,5,Belarus,Europe,Europe & Central Asia,non-Schengen
2019,f,BRA,2,Brazil,Americas,Latin America & Caribbean,non-Schengen
2019,f,BGR,3,Bulgaria,Europe,Europe & Central Asia,non-Schengen
2019,f,GEO,2,Georgia,Asia,Europe & Central Asia,non-Schengen
2019,f,ESP,2,Spain,Europe,Europe & Central Asia,Schengen
2019,f,NLD,1,Netherlands,Europe,Europe & Central Asia,Schengen
2019,f,MDA,1,Moldova,Europe,Europe & Central Asia,non-Schengen
2019,f,DEU,2,Germany,Europe,Europe & Central Asia,Schengen
2019,f,NGA,1,Nigeria,Africa,Sub-Saharan Africa,non-Schengen
2019,f,RUS,4,Russia,Europe,Europe & Central Asia,non-Schengen
2019,f,ROU,7,Romania,Europe,Europe & Central Asia,non-Schengen
2019,f,UKR,27,Ukraine,Europe,Europe & Central Asia,non-Schengen
2019,f,HUN,1,Hungary,Europe,Europe & Central Asia,Schengen
2019,f,GBR,1,United Kingdom,Europe,Europe & Central Asia,non-Schengen
2019,f,VNM,4,Vietnam,Asia,East Asia & Pacific,non-Schengen
2019,f,COG,1,Congo - Brazzaville,Africa,Sub-Saharan Africa,non-Schengen
2019,f,CHE,1,Switzerland,Europe,Europe & Central Asia,Schengen
2019,f,VEN,1,Venezuela,Americas,Latin America & Caribbean,non-Schengen
2019,f,ITA,2,Italy,Europe,Europe & Central Asia,Schengen
2020,m,ARM,32,Armenia,Asia,Europe & Central Asia,non-Schengen
2020,m,AUS,1,Australia,Oceania,East Asia & Pacific,non-Schengen
2020,m,BGD,2,Bangladesh,Asia,South Asia,non-Schengen
2020,m,BLR,53,Belarus,Europe,Europe & Central Asia,non-Schengen
2020,m,BGR,56,Bulgaria,Europe,Europe & Central Asia,non-Schengen
2020,m,CHN,15,China,Asia,East Asia & Pacific,non-Schengen
2020,m,CZE,12,Czechia,Europe,Europe & Central Asia,Schengen
2020,m,EGY,3,Egypt,Africa,Middle East & North Africa,non-Schengen
