year,sex,country_code,border,police_id_no,police_id_yes,police,prison,pop_insured,pop_register,country,country_code2,schengen
2022,m,BLZ,,,,,,,7,Belize,BLZ,non-Schengen
2022,m,BOL,,0,2,2,,61,124,Bolivia,BOL,non-Schengen
2022,m,BRA,3,3,8,11,,901,2063,Brazil,BRA,non-Schengen
2022,m,BRB,,,,,,,2,Barbados,BRB,non-Schengen
2022,m,BRN,,,,,,,5,Brunei,BRN,non-Schengen
2022,m,BTN,,,,,,,3,Bhutan,BTN,non-Schengen
2022,m,BWA,,,,,,2,6,Botswana,BWA,non-Schengen
2022,m,CAF,,,,,,6,5,Central African Republic,CAF,non-Schengen
2022,m,CAN,1,4,2,6,2,213,1394,Canada,CAN,non-Schengen
2022,m,CHE,,7,2,9,,130,781,Switzerland,CHE,Schengen
2022,m,CHL,,1,0,1,,124,253,Chile,CHL,non-Schengen
2022,m,CHN,12,7,21,28,8,2118,11375,China,CHN,non-Schengen
2022,m,CIV,,,,,1,36,65,Côte d’Ivoire,CIV,non-Schengen
2022,m,CMR,7,5,8,13,5,235,446,Cameroon,CMR,non-Schengen
2022,m,COD,7,,,,,,196,Congo - Kinshasa,COD,non-Schengen
2022,m,COG,1,1,5,6,1,194,278,Congo - Brazzaville,COG,non-Schengen
2022,m,COL,9,6,6,12,5,1252,2040,Colombia,COL,non-Schengen
2022,m,COM,,,,,,,38,Comoros,COM,non-Schengen
2022,m,CPV,,,,,,2,8,Cape Verde,CPV,non-Schengen
2022,m,CRI,,,,,,95,167,Costa Rica,CRI,non-Schengen
2022,m,CSK,,,,,,,,unknown/stateless,unknown/stateless,non-Schengen
2022,m,CUB,2,,,,,271,511,Cuba,CUB,non-Schengen
2022,m,CYM,,,,,,,,Cayman Islands,CYM,non-Schengen
2022,m,CYP,,1,0,1,,46,187,Cyprus,CYP,non-Schengen
2022,m,CZE,,113,14,127,16,938,3719,Czechia,CZE,Schengen
2022,m,DDR,,,,,,,,unknown/stateless,unknown/stateless,non-Schengen
2022,m,DEU,,143,54,197,24,2568,33628,Germany,DEU,Schengen
2022,m,DJI,,,,,,,6,Djibouti,DJI,non-Schengen
2022,m,DMA,,,,,,,18,Dominica,DMA,non-Schengen
2022,m,DNK,,6,3,9,3,341,2128,Denmark,DNK,Schengen
2022,m,DOM,,0,2,2,,29,82,Dominican Republic,DOM,non-Schengen
2022,m,DZA,8,5,16,21,4,766,1836,Algeria,DZA,non-Schengen
2022,m,ECU,,2,2,4,,66,175,Ecuador,ECU,non-Schengen
2022,m,EGY,14,9,21,30,6,1348,3172,Egypt,EGY,non-Schengen
2022,m,ERI,,,,,,5,19,Eritrea,ERI,non-Schengen
2022,m,ESH,,,,,,,,Western Sahara,ESH,non-Schengen
2022,m,ESP,,22,7,29,3,2381,7366,Spain,ESP,Schengen
2022,m,EST,,14,5,19,6,85,494,Estonia,EST,Schengen
2022,m,ETH,9,1,6,7,,509,1422,Ethiopia,ETH,non-Schengen
2022,m,FIN,,4,1,5,,271,1212,Finland,FIN,Schengen
2022,m,FJI,,,,,,,4,Fiji,FJI,non-Schengen
2022,m,FLK,,,,,,,,Falkland Islands,FLK,non-Schengen
