year,period,same_year,country_code,border,country,continent,wbd_region7,schengen,sex,age
2014,2014_I,FALSE,RUS,112,Russia,Europe,Europe & Central Asia,non-Schengen,f,18_59
2014,2014_I,FALSE,RUS,5,Russia,Europe,Europe & Central Asia,non-Schengen,f,60
2014,2014_I,FALSE,RUS,103,Russia,Europe,Europe & Central Asia,non-Schengen,m,17
2014,2014_I,FALSE,RUS,138,Russia,Europe,Europe & Central Asia,non-Schengen,m,18_59
2014,2014_I,FALSE,SAU,2,Saudi Arabia,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,m,18_59
2014,2014_I,FALSE,SEN,1,Senegal,Africa,Sub-Saharan Africa,non-Schengen,m,18_59
2014,2014_I,FALSE,SLV,1,El Salvador,Americas,Latin America & Caribbean,non-Schengen,m,18_59
2014,2014_I,FALSE,SOM,1,Somalia,Africa,Sub-Saharan Africa,non-Schengen,m,18_59
2014,2014_I,FALSE,SRB,2,Serbia,Europe,Europe & Central Asia,non-Schengen,m,18_59
2014,2014_I,FALSE,SYR,1,Syria,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,f,60
2014,2014_I,FALSE,SYR,2,Syria,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,m,18_59
2014,2014_I,FALSE,THA,1,Thailand,Asia,East Asia & Pacific,non-Schengen,f,18_59
2014,2014_I,FALSE,TJK,1,Tajikistan,Asia,Europe & Central Asia,non-Schengen,f,18_59
2014,2014_I,FALSE,TUN,17,Tunisia,Africa,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,m,18_59
2014,2014_I,FALSE,TUR,1,Turkey,Asia,Europe & Central Asia,non-Schengen,f,17
2014,2014_I,FALSE,TUR,16,Turkey,Asia,Europe & Central Asia,non-Schengen,m,18_59
2014,2014_I,FALSE,TZA,1,Tanzania,Africa,Sub-Saharan Africa,non-Schengen,m,18_59
2014,2014_I,FALSE,UGA,1,Uganda,Africa,Sub-Saharan Africa,non-Schengen,m,18_59
2014,2014_I,FALSE,UKR,3,Ukraine,Europe,Europe & Central Asia,non-Schengen,f,17
2014,2014_I,FALSE,UKR,213,Ukraine,Europe,Europe & Central Asia,non-Schengen,f,18_59
