year,sex,country_code,country,border,police_id_no,police_id_yes,police,prison,pop_insured,pop_register,continent,wbd_region7,schengen,ukr,simplified_proc
2019,f,GTM,Guatemala,0,0,0,0,0,0,6,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,f,GUY,Guyana,0,0,0,0,0,0,1,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,f,HKG,Hong Kong SAR China,0,0,0,0,0,0,0,Asia,East Asia & Pacific,non-Schengen,0,0
2019,f,HND,Honduras,0,0,0,0,0,0,8,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,f,HTI,Haiti,0,0,0,0,0,0,8,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,f,IDN,Indonesia,5,0,0,0,0,239,308,Asia,East Asia & Pacific,non-Schengen,0,0
2019,f,IND,India,11,1,0,1,0,1036,2320,Asia,South Asia,non-Schengen,0,0
2019,f,IOT,British Indian Ocean Territory,0,0,0,0,0,0,0,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,f,IRN,Iran,0,0,1,1,0,88,230,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,0,0
2019,f,IRQ,Iraq,1,0,0,0,0,27,86,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,0,0
2019,f,ISR,Israel,1,0,0,0,0,40,79,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,0,0
2019,f,JAM,Jamaica,0,0,0,0,0,3,2,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,f,JOR,Jordan,3,0,0,0,0,10,37,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,0,0
2019,f,JPN,Japan,0,0,0,0,0,145,324,Asia,East Asia & Pacific,non-Schengen,0,0
2019,f,KAZ,Kazakhstan,10,0,1,1,0,817,938,Asia,Europe & Central Asia,non-Schengen,0,0
2019,f,KEN,Kenya,1,0,0,0,0,52,73,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,f,KGZ,Kyrgyzstan,3,0,0,0,0,152,245,Asia,Europe & Central Asia,non-Schengen,0,0
2019,f,KHM,Cambodia,0,0,0,0,0,4,13,Asia,East Asia & Pacific,non-Schengen,0,0
2019,f,KIR,Kiribati,0,0,0,0,0,0,0,Oceania,East Asia & Pacific,non-Schengen,0,0
2019,f,KNA,St. Kitts & Nevis,0,0,0,0,0,0,2,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,f,KOR,South Korea,0,1,0,1,0,56,580,Asia,East Asia & Pacific,non-Schengen,0,0
2019,f,KOSOVO,KOSOVO,0,0,0,0,0,0,30,Europe,Europe & Central Asia,non-Schengen,0,0
2019,f,KWT,Kuwait,0,0,0,0,0,0,2,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,0,0
2019,f,LAO,Laos,0,0,0,0,0,0,0,Asia,East Asia & Pacific,non-Schengen,0,0
2019,f,LBN,Lebanon,0,0,0,0,0,24,31,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,0,0
2019,f,LBR,Liberia,0,0,0,0,0,0,0,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,f,LBY,Libya,1,0,0,0,0,0,12,Africa,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,0,0
2019,f,LCA,St. Lucia,0,0,0,0,0,0,2,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,f,LKA,Sri Lanka,2,0,0,0,0,16,44,Asia,South Asia,non-Schengen,0,0
2019,f,LSO,Lesotho,0,0,0,0,0,0,4,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,f,MAC,Macao SAR China,0,0,0,0,0,0,0,Asia,East Asia & Pacific,non-Schengen,0,0
2019,f,MAR,Morocco,1,0,0,0,0,67,124,Africa,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,0,0
2019,f,MCO,Monaco,0,0,0,0,0,0,3,Europe,Europe & Central Asia,non-Schengen,0,0
2019,f,MDA,Moldova,31,12,4,16,1,2781,4940,Europe,Europe & Central Asia,non-Schengen,0,1
2019,f,MDG,Madagascar,0,0,0,0,0,0,14,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,f,MDV,Maldives,0,0,0,0,0,0,0,Asia,South Asia,non-Schengen,0,0
2019,f,MEX,Mexico,0,0,0,0,0,137,189,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,f,MKD,North Macedonia,0,0,0,0,0,31,48,Europe,Europe & Central Asia,non-Schengen,0,0
2019,f,MLI,Mali,0,0,0,0,0,3,3,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,f,MMR,Myanmar (Burma),0,0,0,0,0,4,9,Asia,East Asia & Pacific,non-Schengen,0,0
2019,f,MNE,Montenegro,0,0,0,0,0,9,20,Europe,Europe & Central Asia,non-Schengen,0,0
2019,f,MNG,Mongolia,7,0,2,2,0,232,169,Asia,East Asia & Pacific,non-Schengen,0,0
2019,f,MOZ,Mozambique,0,0,0,0,0,0,9,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,f,MRT,Mauritania,0,0,0,0,0,0,0,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,f,MUS,Mauritius,0,0,0,0,0,6,8,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,f,MWI,Malawi,0,0,0,0,0,0,4,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,f,MYS,Malaysia,1,0,1,1,0,26,52,Asia,East Asia & Pacific,non-Schengen,0,0
2019,f,NAM,Namibia,0,0,0,0,0,0,12,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,f,NER,Niger,1,0,0,0,0,9,11,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,f,NGA,Nigeria,3,0,1,1,1,62,97,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,f,NIC,Nicaragua,0,0,0,0,0,3,5,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,f,NPL,Nepal,3,0,0,0,0,368,516,Asia,South Asia,non-Schengen,0,0
2019,f,NZL,New Zealand,0,0,0,0,0,10,9,Oceania,East Asia & Pacific,non-Schengen,0,0
2019,f,OMN,Oman,0,0,0,0,0,0,1,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,0,0
2019,f,PAK,Pakistan,2,0,1,1,0,109,131,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,0,0
2019,f,PAN,Panama,0,0,0,0,0,3,8,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,f,PCN,Pitcairn Islands,0,0,0,0,0,0,0,Oceania,East Asia & Pacific,non-Schengen,0,0
2019,f,PER,Peru,1,0,0,0,0,41,38,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,f,PHL,Philippines,3,1,0,1,0,768,720,Asia,East Asia & Pacific,non-Schengen,0,0
2019,f,PLW,Palau,0,0,0,0,0,0,1,Oceania,East Asia & Pacific,non-Schengen,0,0
2019,f,PNG,Papua New Guinea,0,0,0,0,0,0,2,Oceania,East Asia & Pacific,non-Schengen,0,0
2019,f,PRI,Puerto Rico,0,0,0,0,0,0,0,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,f,PRY,Paraguay,1,0,0,0,0,0,5,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,f,PSE,Palestinian Territories,0,0,0,0,0,0,2,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,0,0
2019,f,PYF,French Polynesia,0,0,0,0,0,0,0,Oceania,East Asia & Pacific,non-Schengen,0,0
2019,f,QAT,Qatar,0,0,0,0,0,0,1,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,0,0
2019,f,RUS,Russia,88,11,9,20,4,4343,3836,Europe,Europe & Central Asia,non-Schengen,0,1
2019,f,RWA,Rwanda,0,0,0,0,0,51,67,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,f,SAU,Saudi Arabia,1,0,0,0,0,3,78,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,0,0
2019,f,SRB,Serbia,0,1,0,1,0,136,169,Europe,Europe & Central Asia,non-Schengen,0,0
2019,f,SDN,Sudan,0,0,0,0,0,0,7,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,f,SEN,Senegal,1,0,0,0,0,4,14,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,f,SGP,Singapore,0,0,0,0,0,4,25,Asia,East Asia & Pacific,non-Schengen,0,0
2019,f,SLB,Solomon Islands,0,0,0,0,0,0,0,Oceania,East Asia & Pacific,non-Schengen,0,0
2019,f,SLE,Sierra Leone,0,0,0,0,0,0,1,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,f,SLV,El Salvador,0,0,0,0,0,3,8,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,f,SMR,San Marino,0,0,0,0,0,0,0,Europe,Europe & Central Asia,non-Schengen,0,0
2019,f,SOM,Somalia,0,0,0,0,0,0,2,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,f,SSD,South Sudan,0,0,0,0,0,0,0,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,f,STP,São Tomé & Príncipe,0,0,0,0,0,0,1,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,f,SUR,Suriname,0,0,0,0,0,7,14,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,f,SWZ,Eswatini,0,0,0,0,0,0,2,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,f,SYC,Seychelles,0,0,0,0,0,0,0,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,f,SYR,Syria,2,0,0,0,0,59,88,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,0,0
2019,f,TCD,Chad,0,0,0,0,0,0,0,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,f,TGO,Togo,0,0,0,0,0,0,0,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,f,THA,Thailand,12,1,0,1,0,382,393,Asia,East Asia & Pacific,non-Schengen,0,0
2019,f,TJK,Tajikistan,5,0,0,0,0,50,90,Asia,Europe & Central Asia,non-Schengen,0,0
2019,f,TKM,Turkmenistan,1,0,0,0,0,46,44,Asia,Europe & Central Asia,non-Schengen,0,0
2019,f,TLS,Timor-Leste,0,0,0,0,0,0,1,Asia,East Asia & Pacific,non-Schengen,0,0
2019,f,TON,Tonga,0,0,0,0,0,0,0,Oceania,East Asia & Pacific,non-Schengen,0,0
2019,f,TTO,Trinidad & Tobago,0,0,0,0,0,0,3,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,f,TUN,Tunisia,1,0,0,0,0,55,86,Africa,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,0,0
2019,f,TUR,Turkey,5,0,0,0,0,368,2392,Asia,Europe & Central Asia,non-Schengen,0,0
2019,f,TWN,Taiwan,0,0,0,0,0,54,53,Asia,East Asia & Pacific,non-Schengen,0,0
2019,f,TZA,Tanzania,0,0,0,0,0,3,26,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,f,UGA,Uganda,0,0,0,0,0,19,27,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,f,UKR,Ukraine,1109,331,190,521,27,171232,230539,Europe,Europe & Central Asia,non-Schengen,1,1
2019,f,UMI,United States Minor Outlying Islands (the),0,0,0,0,0,0,0,Oceania,East Asia & Pacific,non-Schengen,0,0
2019,f,URY,Uruguay,0,0,0,0,0,8,11,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,f,USA,United States,6,3,1,4,0,385,680,Americas,North America,non-Schengen,0,0
2019,f,UZB,Uzbekistan,8,1,0,1,0,196,252,Asia,Europe & Central Asia,non-Schengen,0,0
2019,f,VAT,Vatican City,0,0,0,0,0,0,0,Europe,Europe & Central Asia,non-Schengen,0,0
2019,f,VCT,St. Vincent & Grenadines,0,0,0,0,0,0,0,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,f,VEN,Venezuela,3,0,0,0,1,48,68,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,f,VGB,British Virgin Islands,0,0,0,0,0,0,0,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,f,VNM,Vietnam,29,4,19,23,4,2936,1710,Asia,East Asia & Pacific,non-Schengen,0,0
2019,f,VUT,Vanuatu,0,0,0,0,0,0,0,Oceania,East Asia & Pacific,non-Schengen,0,0
