year,country_code,sex,zus,country,continent,wbd_region7,schengen
2016,GTM,m,20,Guatemala,Americas,Latin America & Caribbean,non-Schengen
2016,GUY,f,2,Guyana,Americas,Latin America & Caribbean,non-Schengen
2016,GUY,m,7,Guyana,Americas,Latin America & Caribbean,non-Schengen
2016,HND,f,1,Honduras,Americas,Latin America & Caribbean,non-Schengen
2016,HND,m,8,Honduras,Americas,Latin America & Caribbean,non-Schengen
2016,HRV,f,79,Croatia,Europe,Europe & Central Asia,non-Schengen
2016,HRV,m,283,Croatia,Europe,Europe & Central Asia,non-Schengen
2016,HTI,f,4,Haiti,Americas,Latin America & Caribbean,non-Schengen
2016,HTI,m,7,Haiti,Americas,Latin America & Caribbean,non-Schengen
2016,HUN,f,355,Hungary,Europe,Europe & Central Asia,Schengen
2016,HUN,m,642,Hungary,Europe,Europe & Central Asia,Schengen
2016,IDN,f,99,Indonesia,Asia,East Asia & Pacific,non-Schengen
2016,IDN,m,53,Indonesia,Asia,East Asia & Pacific,non-Schengen
2016,IND,f,366,India,Asia,South Asia,non-Schengen
2016,IND,m,2380,India,Asia,South Asia,non-Schengen
2016,IOT,m,2,British Indian Ocean Territory,Africa,Sub-Saharan Africa,non-Schengen
2016,IRL,f,46,Ireland,Europe,Europe & Central Asia,non-Schengen
2016,IRL,m,337,Ireland,Europe,Europe & Central Asia,non-Schengen
2016,IRN,f,36,Iran,Asia,Middle East & North Africa,non-Schengen
2016,IRN,m,148,Iran,Asia,Middle East & North Africa,non-Schengen
2016,IRQ,f,19,Iraq,Asia,Middle East & North Africa,non-Schengen
2016,IRQ,m,192,Iraq,Asia,Middle East & North Africa,non-Schengen
2016,ISL,f,2,Iceland,Europe,Europe & Central Asia,Schengen
2016,ISL,m,6,Iceland,Europe,Europe & Central Asia,Schengen
2016,ISR,f,40,Israel,Asia,Middle East & North Africa,non-Schengen
2016,ISR,m,173,Israel,Asia,Middle East & North Africa,non-Schengen
2016,ITA,f,436,Italy,Europe,Europe & Central Asia,Schengen
2016,ITA,m,3065,Italy,Europe,Europe & Central Asia,Schengen
2016,JAM,f,1,Jamaica,Americas,Latin America & Caribbean,non-Schengen
2016,JAM,m,9,Jamaica,Americas,Latin America & Caribbean,non-Schengen
2016,JOR,f,6,Jordan,Asia,Middle East & North Africa,non-Schengen
2016,JOR,m,160,Jordan,Asia,Middle East & North Africa,non-Schengen
2016,JPN,f,109,Japan,Asia,East Asia & Pacific,non-Schengen
2016,JPN,m,273,Japan,Asia,East Asia & Pacific,non-Schengen
2016,KAZ,f,545,Kazakhstan,Asia,Europe & Central Asia,non-Schengen
2016,KAZ,m,460,Kazakhstan,Asia,Europe & Central Asia,non-Schengen
2016,KEN,f,31,Kenya,Africa,Sub-Saharan Africa,non-Schengen
2016,KEN,m,45,Kenya,Africa,Sub-Saharan Africa,non-Schengen
2016,KGZ,f,46,Kyrgyzstan,Asia,Europe & Central Asia,non-Schengen
2016,KGZ,m,52,Kyrgyzstan,Asia,Europe & Central Asia,non-Schengen
2016,KHM,f,6,Cambodia,Asia,East Asia & Pacific,non-Schengen
2016,KHM,m,14,Cambodia,Asia,East Asia & Pacific,non-Schengen
2016,KOR,f,123,South Korea,Asia,East Asia & Pacific,non-Schengen
2016,KOR,m,437,South Korea,Asia,East Asia & Pacific,non-Schengen
2016,KWT,m,4,Kuwait,Asia,Middle East & North Africa,non-Schengen
2016,LAO,m,14,Laos,Asia,East Asia & Pacific,non-Schengen
2016,LBN,f,28,Lebanon,Asia,Middle East & North Africa,non-Schengen
2016,LBN,m,150,Lebanon,Asia,Middle East & North Africa,non-Schengen
2016,LBR,m,5,Liberia,Africa,Sub-Saharan Africa,non-Schengen
2016,LBY,f,1,Libya,Africa,Middle East & North Africa,non-Schengen
2016,LBY,m,64,Libya,Africa,Middle East & North Africa,non-Schengen
2016,LKA,f,10,Sri Lanka,Asia,South Asia,non-Schengen
2016,LKA,m,59,Sri Lanka,Asia,South Asia,non-Schengen
2016,LTU,f,833,Lithuania,Europe,Europe & Central Asia,Schengen
2016,LTU,m,817,Lithuania,Europe,Europe & Central Asia,Schengen
2016,LUX,m,9,Luxembourg,Europe,Europe & Central Asia,Schengen
2016,LVA,f,182,Latvia,Europe,Europe & Central Asia,Schengen
2016,LVA,m,242,Latvia,Europe,Europe & Central Asia,Schengen
2016,MAR,f,24,Morocco,Africa,Middle East & North Africa,non-Schengen
2016,MAR,m,308,Morocco,Africa,Middle East & North Africa,non-Schengen
2016,MCO,m,2,Monaco,Europe,Europe & Central Asia,non-Schengen
2016,MDA,f,1727,Moldova,Europe,Europe & Central Asia,non-Schengen
2016,MDA,m,3292,Moldova,Europe,Europe & Central Asia,non-Schengen
2016,MDG,f,4,Madagascar,Africa,Sub-Saharan Africa,non-Schengen
2016,MDG,m,10,Madagascar,Africa,Sub-Saharan Africa,non-Schengen
2016,MEX,f,68,Mexico,Americas,Latin America & Caribbean,non-Schengen
2016,MEX,m,231,Mexico,Americas,Latin America & Caribbean,non-Schengen
2016,MKD,f,28,North Macedonia,Europe,Europe & Central Asia,non-Schengen
2016,MKD,m,151,North Macedonia,Europe,Europe & Central Asia,non-Schengen
2016,MLI,f,3,Mali,Africa,Sub-Saharan Africa,non-Schengen
2016,MLI,m,20,Mali,Africa,Sub-Saharan Africa,non-Schengen
2016,MLT,f,5,Malta,Europe,Middle East & North Africa,Schengen
2016,MLT,m,17,Malta,Europe,Middle East & North Africa,Schengen
2016,MMR,f,6,Myanmar (Burma),Asia,East Asia & Pacific,non-Schengen
2016,MMR,m,6,Myanmar (Burma),Asia,East Asia & Pacific,non-Schengen
2016,MNE,f,7,Montenegro,Europe,Europe & Central Asia,non-Schengen
2016,MNE,m,52,Montenegro,Europe,Europe & Central Asia,non-Schengen
2016,MNG,f,191,Mongolia,Asia,East Asia & Pacific,non-Schengen
2016,MNG,m,117,Mongolia,Asia,East Asia & Pacific,non-Schengen
2016,MOZ,m,4,Mozambique,Africa,Sub-Saharan Africa,non-Schengen
2016,MRT,m,6,Mauritania,Africa,Sub-Saharan Africa,non-Schengen
